;0;1;2;3;4;5
518;Acxiom Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=815265&c=355082;ACXM;06/08/2013;Annual;USA
519;Acxiom Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=905427&c=355082;ACXM;07/08/2014;Annual;USA
520;Acxiom Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=989958&c=5646452;ACXM;18/08/2015;Annual;USA
521;Acxiom Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=1075544&c=5646452;ACXM;09/08/2016;Annual;USA
522;Acxiom Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=1162001&c=5646452;ACXM;08/08/2017;Annual;USA
523;AD Plastik D.D.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=HRADPLRA0006&m=955998&c=5662599;ADPL-R-A;23/07/2015;Annual;Croatia
524;AD Plastik D.D.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=HRADPLRA0006&m=1031641&c=5662599;ADPL-R-A;06/04/2016;Special;Croatia
525;AD Plastik D.D.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=HRADPLRA0006&m=1070310&c=6115484;ADPL-R-A;14/07/2016;Annual;Croatia
526;AD Plastik d.d.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=HRADPLRA0006&m=1157491&c=6115484;ADPL;20/07/2017;Annual;Croatia
527;AD Plastik d.d.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=HRADPLRA0006&m=1244451&c=5643915;ADPL;12/07/2018;Annual;Croatia
528;AD Plastik D.D., Solin;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X00158109&m=811793&c=355082;ADPL-R-A;18/07/2013;Annual;Croatia
529;AD Plastik D.D., Solin;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X00158109&m=903849&c=5529483;ADPL-R-A;24/07/2014;Annual;Croatia
530;Adairs Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=AU000000ADH2&m=1259929&c=5992552;ADH;26/10/2018;Annual;Australia
531;Adani Enterprises Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=Y00106131&m=818559&c=355082;512599;08/08/2013;Annual;India
532;Adani Enterprises Ltd.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=Y00106131&m=909245&c=355082;512599;09/08/2014;Annual;India
